# Channel A, measure V
</>
<0.0000, 0.00105>
<0.0050, 0.00542>
<0.0085, 0.00884>
<0.0145, 0.01470>
<0.0246, 0.02458>
<0.0419, 0.04148>
<0.0713, 0.07020>
<0.1212, 0.11896>
<0.2062, 0.20200>
<0.3509, 0.34333>
<0.5969, 0.58374>
<1.0155, 0.99279>
<1.7275, 1.68847>
<2.9387, 2.87222>
<5.0001, 4.88603>
<\>

# Channel A, measure I
</>
<0.0000, 0.00030>
<0.0002, 0.00050>
<0.0006, 0.00089>
<0.0020, 0.00227>
<0.0063, 0.00648>
<0.0200, 0.01992>
<0.0632, 0.06229>
<0.2000, 0.19627>
<-0.0002, 0.00011>
<-0.0006, -0.00029>
<-0.0020, -0.00166>
<-0.0063, -0.00588>
<-0.0200, -0.01932>
<-0.0632, -0.06171>
<-0.1999, -0.19617>
<\>

# Channel A, source V
</>
<0.00105, 0.0005>
<0.00486, 0.0044>
<0.00827, 0.0079>
<0.01409, 0.0140>
<0.02393, 0.0240>
<0.04092, 0.0413>
<0.06938, 0.0706>
<0.11786, 0.1201>
<0.20030, 0.2046>
<0.34099, 0.3484>
<0.57975, 0.5929>
<0.98670, 1.0091>
<1.67847, 1.7173>
<2.85586, 2.9221>
<4.85788, 4.9715>
<\>

# Channel A, source I
</>
<-0.00117, -0.0013>
<-0.00098, -0.0011>
<-0.00059, -0.0008>
<0.00078, 0.0007>
<0.00494, 0.0049>
<0.01824, 0.0185>
<0.06016, 0.0612>
<0.19276, 0.1966>
<-0.00136, -0.0015>
<-0.00174, -0.0019>
<-0.00311, -0.0033>
<-0.00727, -0.0076>
<-0.02058, -0.0211>
<-0.06256, -0.0639>
<-0.19540, -0.1989>
<\>

# Channel B, measure V
</>
<0.0000, 0.00089>
<0.0050, 0.00510>
<0.0085, 0.00852>
<0.0145, 0.01440>
<0.0246, 0.02427>
<0.0419, 0.04118>
<0.0713, 0.06990>
<0.1212, 0.11869>
<0.2062, 0.20174>
<0.3509, 0.34313>
<0.5969, 0.58359>
<1.0155, 0.99274>
<1.7275, 1.68860>
<2.9387, 2.87264>
<5.0001, 4.88685>
<\>

# Channel B, measure I
</>
<0.0000, 0.00009>
<0.0002, 0.00029>
<0.0006, 0.00068>
<0.0020, 0.00205>
<0.0063, 0.00627>
<0.0200, 0.01969>
<0.0632, 0.06202>
<0.2000, 0.19592>
<-0.0002, -0.00011>
<-0.0006, -0.00050>
<-0.0020, -0.00187>
<-0.0063, -0.00608>
<-0.0200, -0.01952>
<-0.0632, -0.06188>
<-0.1999, -0.19625>
<\>

# Channel B, source V
</>
<0.00375, 0.0036>
<0.00859, 0.0086>
<0.01201, 0.0121>
<0.01793, 0.0182>
<0.02782, 0.0283>
<0.04489, 0.0457>
<0.07355, 0.0751>
<0.12239, 0.1250>
<0.20551, 0.2101>
<0.34715, 0.3549>
<0.58749, 0.6009>
<0.99690, 1.0196>
<1.69275, 1.7318>
<2.87735, 2.9436>
<4.87600, 4.9893>
<\>

# Channel B, source I
</>
<0.00078, 0.0007>
<0.00098, 0.0009>
<0.00137, 0.0013>
<0.00274, 0.0027>
<0.00694, 0.0070>
<0.02030, 0.0207>
<0.06244, 0.0637>
<0.19577, 0.1999>
<0.00059, 0.0005>
<0.00020, 0.0001>
<-0.00117, -0.0013>
<-0.00536, -0.0055>
<-0.01874, -0.0192>
<-0.06094, -0.0622>
<-0.19453, -0.1981>
<\>

